id,emp,comp,lastratingdate,left,rating,no_of_ratings,avg_rating,no_of_remarks,avg_remark_length,last,diff_days,month,year,company_id,company_reputation,support,oppose,rem_sup_type,rem_opp_type,last_2_months,last_6_months,last_12_months,num_ratings_2,num_ratings_6
2228,939,phcvroct,2016-10-17,1,3,1,3.0,0,0.0,2017-12-03,412.0,10,2016,1,0.4883227176220807,0,0,-100.0,-100.0,3.0,3.0,3.0,1,1
4349,250,jblrepyr,2017-03-19,0,4,112,3.7678571428571432,104,136.3269230769231,2017-12-03,259.0,3,2017,2,0.0,6,98,165.4618320610687,18.77862595419848,4.0,4.0,3.9615384615384617,3,8
945,134,ewpvmfbc,2016-09-21,0,3,26,2.9230769230769234,10,45.8,2017-12-03,438.0,9,2016,3,0.06299212598425198,0,10,187.875,0.0,3.0,2.9473684210526314,2.9230769230769234,3,19
4553,164,wsmblohy,2017-03-17,0,2,17,2.411764705882353,10,21.2,2017-12-03,261.0,3,2017,4,0.18055555555555555,1,9,97.2,2.95,3.0,2.6,2.411764705882353,2,5
941,129,ewpvmfbc,2016-04-04,0,3,5,2.8,4,75.0,2017-12-03,608.0,4,2016,3,0.06299212598425198,0,4,113.375,22.875,3.0,3.0,2.8,1,1
2694,258,ujplihug,2017-06-02,0,3,47,2.8936170212765964,40,237.25,2017-12-03,184.0,6,2017,5,0.1933701657458564,2,38,254.36986301369862,25.602739726027398,3.0,3.0,2.772727272727273,1,2
235,277,bnivzbfi,2017-03-01,0,4,2,3.5,0,0.0,2017-12-03,277.0,3,2017,6,0.0661764705882353,0,0,342.0,0.0,3.5,3.5,3.5,2,2
2289,18,rcwkfavv,2017-03-20,0,2,181,1.4088397790055247,0,0.0,2017-12-03,258.0,3,2017,7,0.10465116279069768,0,0,285.0,0.0,1.6666666666666667,1.5,1.4158415841584158,6,18
3662,21,jnvpfmup,2017-03-14,0,3,3,3.0,0,0.0,2017-12-03,264.0,3,2017,8,0.0,0,0,-100.0,-100.0,3.0,3.0,3.0,2,3
4270,108,jblrepyr,2016-07-12,0,3,1,3.0,0,0.0,2017-12-03,509.0,7,2016,2,0.0,0,0,51.0,0.0,3.0,3.0,3.0,1,1
3022,28,nmxkgvmi,2016-10-25,0,4,5,3.2,8,176.5,2017-12-03,404.0,10,2016,9,0.0,0,8,-100.0,-100.0,3.2,3.2,3.2,5,5
4183,259,jblrepyr,2016-12-20,0,3,50,3.1,56,52.464285714285715,2017-12-03,348.0,12,2016,2,0.0,4,52,158.64084507042253,10.450704225352114,3.0,3.0909090909090913,3.1,32,44
227,269,bnivzbfi,2017-03-20,0,4,142,3.8732394366197194,114,37.824561403508774,2017-12-03,258.0,3,2017,6,0.0661764705882353,13,101,92.85106382978724,6.489361702127661,4.0,3.0,3.756756756756757,2,12
4614,270,wsmblohy,2017-02-23,1,3,1,3.0,0,0.0,2017-12-03,283.0,2,2017,4,0.18055555555555555,0,0,-100.0,-100.0,3.0,3.0,3.0,1,1
4332,224,jblrepyr,2016-02-11,0,3,1,3.0,0,0.0,2017-12-03,661.0,2,2016,2,0.0,0,0,-100.0,-100.0,3.0,3.0,3.0,1,1
4686,457,wsmblohy,2017-03-20,0,3,17,3.5882352941176467,4,33.0,2017-12-03,258.0,3,2017,4,0.18055555555555555,0,4,74.05,119.65,4.0,3.8,3.5882352941176467,2,5
3877,209,bhqczwkj,2017-03-15,0,1,27,2.333333333333333,4,55.0,2017-12-03,263.0,3,2017,10,0.03211009174311927,1,3,50.714285714285715,14.571428571428573,1.0,1.3333333333333333,1.95,1,3
360,3,oecfwdaq,2015-07-02,0,4,1,4.0,0,0.0,2017-12-03,885.0,7,2015,11,0.3076923076923077,0,0,-100.0,-100.0,4.0,4.0,4.0,1,1
2135,726,phcvroct,2016-10-08,1,3,12,3.6666666666666665,0,0.0,2017-12-03,421.0,10,2016,1,0.4883227176220807,0,0,273.0,0.0,3.6666666666666665,3.571428571428572,3.6666666666666665,3,7
3691,70,spfcrgea,2016-03-21,0,3,4,2.75,4,19.5,2017-12-03,622.0,3,2016,12,0.07407407407407407,2,2,13.0,6.5,2.75,2.75,2.75,4,4
4325,207,jblrepyr,2016-12-27,0,2,18,2.888888888888889,0,0.0,2017-12-03,341.0,12,2016,2,0.0,0,0,90.85714285714286,0.0,2.6666666666666665,3.0,2.888888888888889,3,14
2833,4,azalutpt,2014-11-25,0,3,1,3.0,2,10.0,2017-12-03,1104.0,11,2014,13,0.0,0,2,-100.0,-100.0,3.0,3.0,3.0,1,1
2325,82,rcwkfavv,2017-01-03,0,3,128,2.96875,16,46.0,2017-12-03,334.0,1,2017,7,0.10465116279069768,2,14,215.27272727272728,0.8409090909090909,3.0,3.0,3.0163934426229506,4,9
671,240,yodaczsb,2016-11-10,1,3,1,3.0,0,0.0,2017-12-03,388.0,11,2016,14,0.7808988764044944,0,0,-100.0,-100.0,3.0,3.0,3.0,1,1
2839,13,azalutpt,2014-12-12,0,3,3,3.0,6,4.0,2017-12-03,1087.0,12,2014,13,0.0,0,6,-100.0,-100.0,3.0,3.0,3.0,3,3
